,annotation,id,name,steps,tags
0,,a68b2e8c49b60b2e,Übung2,"fastq_groomer,cshl_fastq_quality_filter,cshl_fastx_trimmer",
1,,a361743f75a79151,Top gene hits from peaks,"tp_replace_in_column,Add_a_column1,Add_a_column1,Cut1,gops_intersect_1,gops_intersect_1,Grouping1,Grouping1,tp_sort_header_tool",
2,,aa94b507279e9633,TSS+/-x,get_flanks1,
3,,a0a80dcf4d4cd85f,BlockClustWorkflow_complete,"blockclust,sort1,blockbuster,blockclust,Extract genomic DNA 1,infernal_cmsearch,blockclust",
4,,ae32b4921333b552,Workflow constructed from history 'Inoduction',"Cut1,CONVERTER_interval_to_bedstrict_0,CONVERTER_interval_to_bed_0,get_flanks1,gops_intersect_1,Count1,barchart_gnuplot",
5,,a45ef30dc287f30a,GLIMMER_to_GFF,"Remove beginning1,Cut1,addValue,addValue,addValue,addValue,Cut1,cshl_sed_tool,Filter1,Filter1,Cut1,cat1,Cut1",
6,,a03bf74e1e29dfbc,Workflow constructed from history 'GalaxyIntroduction',"gops_intersect_1,Count1,barchart_gnuplot",
7,,a837b273789b0ba6,FLASHseq_full_hisat2_hg19 editdist nonunique bamout cleanup,"flexbar_no_split,tp_sed_tool,remove_tail.py,extract_bcs.py,tp_awk_tool,tp_awk_tool,extract_bcs.py,convert_bc_to_binary_RY.py,flexbar_split_RR_bcs,extract_bcs.py,extract_bcs.py,flexbardsc,flexbardsc,hisat2,hisat2,samtools_flagstat,bamFilter,samtools_flagstat,bamFilter,tp_awk_tool,extract_aln_ends.py,tp_awk_tool,extract_aln_ends.py,merge_pcr_duplicates.py,wc_gnu,merge_pcr_duplicates.py,wc_gnu,rm_spurious_events.py,tp_awk_tool,rm_spurious_events.py,tp_awk_tool,wc_gnu,tp_cut_tool,wc_gnu,tp_cut_tool,tp_awk_tool,picard_FilterSamReads,tp_awk_tool,picard_FilterSamReads,cat1,cat1",
8,,ad636b33b71b6d8f,"Add ""chr"" at beginning of each line","addValue,mergeCols1,Cut1",
9,,a4a216feba252d25,Peaks to genes 2,"gops_intersect_1,Grouping1,tp_sort_header_tool",
10,,a5c10201e410ba94,GLIMMER_to_GFF,"Remove beginning1,Cut1,addValue,addValue,addValue,addValue,Cut1,cshl_sed_tool,Filter1,Filter1,Cut1,cat1,Cut1",
11,,a465b9b896c2c323,"Add ""chr"" at beginning of each line",cshl_awk_tool,
12,,aff38b1bfa90c570,ProteinID_SG_PS_Tutorial_WF_datasetCollection,"PeakPickerHiRes,FileConverter,search_gui,peptide_shaker,Grep1,Grep1,Grep1",
13,,a6bfb2a6512bee0b,Workflow constructed from history 'Genome annotaion workshop',"EMBOSS: extractseq35,fasta_compute_length,seq_composition,augustus,aragorn_trna,Grep1,Show beginning1,ncbi_blastp_wrapper,cat1,cat1,megablast_xml_parser,blastxml_to_top_descr,blast2go,Grep1,seq_filter_by_id,wolf_psort,tmhmm2,Filter1,Filter1",
14,,a4756feddeadc4b8,Workflow_Join_Filter,"Remove beginning1,Show beginning1,tp_easyjoin_tool,tp_awk_tool,tp_cat,tp_cat",
15,,a409543068db7be2,Galaxy Introduction 101,"gops_join_1,Grouping1,tp_sort_header_tool,Show beginning1,comp1",
16,,a44b85ca43d6e0d6,Ref based RNA Seq tutorial,"fastqc,fastqc,trim_galore,hisat2,htseq_count,sort1",
17,,a5f74a31561d0c03,ASM-BSeq,"iuc_pear,bismark_bowtie2,fastq_groomer,cshl_fastx_reverse_complement,bismark_bowtie2,bamtools,bam_to_sam,Grep1,Grep1,Grep1,Grep1,sam_to_bam,sam_to_bam,pileometh,pileometh",
18,,a6d58334907a8b52,Tophat MID Settings vergleichen,"trim_galore,tophat2,tophat2,tophat2,tophat2,tophat2,bam_to_sam,bam_to_sam,bam_to_sam,bam_to_sam,bam_to_sam,Count1,Count1,Count1,Count1,Count1",
19,,a4240dfca322e877,RNAseq_prep_HISATseq_count,"trim_galore,fastqc,hisat2,htseq_count","RNAseq,preprocessing"
